comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg  
ES UN IDIOT@ ESE. LARY....,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
"falta de coordinación, falta de autoridad, no funciona ese binomio",70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
"DEMAGOGO, MENTIROSO, FALSO.... ESTA MUY CLARITO LO QUE PIENSAN ESTOS SEÑORES R. y Op. L. DEL MÁS... LA MEJOR SOLUCIÓN.. TUTO PRESIDENTE 🇧🇴🇧🇴TUTO PRESIDENTE 🇧🇴🇧🇴.. TUTO PRESIDENTE 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴",75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
Me late que no va ver derecho a expresión si estos llegan que tristeza termos HDP 😡,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
"Me parece bien, pero, el empezó a tirar piedras fue tu vice, y tú permitirte!!!!",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
esto non Responsable y no Respetan y q hablan huevada a la gente de todo pay esto delincuente carajo 💪,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
No me simpatizan,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
..? Defendiendo siempre lo indefendible como a su vicepresidente el KewaLari,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Me hace recuerdo a las peleas de Evo/Linera con la prensa…. Se nos viene otra dictadura si gana el PDC!!,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Vacunelo más bien,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Sobre todo con Pomacusi y su programa que es campaña no información,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Primero busca una buena relación con tu bise : te ara a un lado y el será el futuro presidente y Bolivia nuevamente al fracaso,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Cambios? Cambia a tu candidato a vice.,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
"Rodrigo, lamento decirlo, pero eres un cobarde, te falta caracter, tu acompañante de fórmula está haciendo gala de su ignorancia y prepotencia, tratando de caca a los miembros de la Prensa, pero vos bien gracias, que barbaridad. Donde manda capitán no manda marino.",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
"¡Lo que deberías replantear es tu carrera política, eres tan gil como tu padre!",70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
"Lo que es necesario es que bajes tu candidatura eres un traidor que se alió con la mafia, recapacita si tienes un poquito de dignidad",75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
ESTE OPA DEL PICHON QUIERE NACIONALIZAR AUTOS CHUTOS SI NISIQUIERA ABASTACE LA GASOLINA PARA LOS AUTOS DEL PAIS QUE TIPO MAS BURRO Y CERRAR ADUANA ESTE ES UN IGNORANTE POR ESO EN TARIJA LO DETESTAN NO LO QUIEREN NI VER A ESTE PELOTAS SI NI DE ALCALDE ROBO MILLONES Y HA SIDO EL PEOR ALCALDE DE TARIJA Y AHORA QUIERE SER PRESIDENTE VA HA DEJAR FREGADO A UN PAIS POR ESO HAY QUE INFORMARSE PRIMERO POR QUIEN QUIERE VOTAR,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Lo que tiene que hacer Rodrigo Paz es ponerle un bozal a LARA porque cada estupidez que sale de su boca,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Este es peor que el Chavo y su acompañante Dn Ramón los dos que venden su alma al diablo maleantes,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
Replantear sus cerebros Paz Lara lari no se ponen de acuerdo con cada pendejada que hablan,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Este tipo se ve que es un titere no tiene carácter todo tibio y blando,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Jaaa de como ese cambio esq xq tienen algo entre mano jaaa x favor,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Va cerrar los canales de tv que hablen en contra como Cuba o Venezuela,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Paz y Lara serán gsnador,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Paz y lara al podrr,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Dictador de m...,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Que no se postulen hijos de expresidentes primera regla,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Pero todas las caga....d. se las colgara. Rodrigo,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
"Las reglas del juego no se tocan para mimar a un candidato inseguro ni para proteger a un compañero de fórmula que no tolera preguntas. La prensa no está para acariciar egos, sino para desnudar verdades. Si alguien pretende cambiar la cancha para sentirse cómodo, demuestra que no tiene la talla ni para competir, menos para gobernar.",75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
Mejor deberías cambiar de vicepresidente,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
"Cuando meten la pata, ya no más quieren arreglarlo pretextos",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Pobre imbécil!!!!,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
Te estan haciendo mied@....no??????,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Este va de mal a peor,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Pinocho 🤥,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
"Mil veces ya te dijeron que controles a tu loco pero en vez de eso, tú te estás contagiando...",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Y la crisis del país así se soluciona 😂,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Jejee porq tiene. Miedo que le pregunten y no sepa q responder...o que su vice responda hue🤬🤐,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
"Está en riesgo su sueño de sacar adelante a Bolivia... Por la lengua Bífida de un insensato e insurgente... Bolivia nesecita reconciliación entre todos... Estos malos comentarios del señor Lara, incita a la insurgencia, al un comportamiento delictivo... Por eso el crimen organizado está en auge...",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Póngale bosal a su perro,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
"QUIZA QUIERE RODRIGO PAZ, QUE LA PRENSA SOLO HABLE BIEN DE EL Y LARA, APLAUDAN COMO FOCAS Y REVIENTEN AL RIVAL.",70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
TUTO PRESIDENTE 🇧🇴 🙌,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
Qué desgraciaaaa!!!!,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Que cambie a Lara y muchos volverán al PDC,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Vota por Paz y Lara,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
Pobres zurdos populistas fracasados HDP 🤬 solo traerán más pobreza al país,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
"Es lo que necesitábamos.. una ley que proteja a los políticos cuando hacen campaña. Con eso el país será mejor, habrá empleos y desaparecerán las filas por combustibles.",75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Le tiene miedo a su compañero...quedó prisionero...eso pasa a los mamones,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
TUTO PRESIDENTE 🇧🇴🇧🇴🇧🇴💪,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Que bestia esta gallina🐔sin la prensa ni marudo hayas pillau🍌🦙🍌💩,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Alguien ya escucho la propuesta o plan de gobierno de Rodrigo Paz????,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
"Este ñato cada vez está peor, creo q la idiotez de Lara se le está pegando",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Lo que es necesario es que eduque a su pitbull lara,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
TUTO PRESIDENTE DE BOLIVIA 🇧🇴💪!!!,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
"Cerrale el osico pues a ese tu animal Lary y deja de ser tan Opa como el, 🤦🏻🤦🏻🤦🏻 par de desclasados",75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
Y punto.,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Se le ve débil mal. Alcanzara a valoraje?. 🤔🤔🤔🤔,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Paz fue a promocionar su café a USA.,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
"En otras palabras, ""perdonen al opa, es tarde para cambiarlo""",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
otro posible dictador... mejor vamos a lo seguro TUTO PRESIDENTE! 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Estos no se hablan ni por whatsapp,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Eso es lo único que le preocupa?,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
"El PDC es el MAS, que tiene a 2 OPAS de candidatos IMPROVISADOS que no tienen plan para sacar a Bolivia de está dura CRISIS ECONÓMICA en la que nos ha hundido el SOCIALISMO en 20 años de despilfarro y corrupción del MAS. Por favor, busquen y encuentren 1 solo Chapaco que hable bien de Rodrigo Paz y NO VAN A ENCONTRAR ni uno porque allá todos saben lo inepto, corrupto y traicionero que es, este tipo nunca logró nada por mérito propio (para ser alcalde se prestó todo la estructura de Negro Montes y luego lo traicionó); HOY por abajo hizo pacto con el MAS para llegar a donde llegó, para garantizar su propia impunidad y protección, y la del pedófilo del Chapare y todos los Masistas corruptos, y quiere cerrar los ojos a todo un país diciendo que es renovación.",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Ya la 💩,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Otro dictador?,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
En tarija no lo quieren a Rodrigo Paz igual que a Jhonny en santa cruz lo malgastaron todo el dinero de la alcaldía,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
No seas baboso,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
"Este es un ejemplo de la invasión de los analfabetos en políticas de estado, no tienen ni idea de lo que son políticas de estado, ovejas que solo saben bla bla, cualquier cosa que les salga de la boca, mas que VERGÜENZA AJENA DAN PENAAA, sinvergüenzas.",75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
"Este vende humo, no tiene programa, después del 19 tendrá que irse del país, seguirán sus procesos, el desertór tiene muchas demandas, haber quien le acompañaba después cuando pierda, lo dejaran solo y debe irse del país pq ya lo conocen x traidor, Tuto 70 paz 30",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
"ANDA PONELE LA CORREA A TU MASCOTA, YA QUE NO LO PUEDE CONTROLAR NI EL MISMO NO ESTANDO EN EL PODER IMAGINENSE CUANDO ESTEN, ESTE VA A SER UN TITERE MAS",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
"Paz amarre a su perra loca, que cada día lo está cargando mucho más.",90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
Estos PDC no llegan al poder y ya tienen diferencias entre el gallo sumiso y el desertor pajpaku,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Es con Tío Tuto Señores 🤝🏻💪🏻💪🏻🥇🇧🇴🇳🇬🤍❤️💙🎖️🧉🫖📿🥥,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
"El Español Paz, q es candidato ilegitino ni deberia opinar ya sabemos q fue a USA a cer un mega ridiculo. Esta vosa cree q todos los bolivianos no tenemos cerebro, como el y el desertor de su candidato a vice",70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
EL CANDIDATO DE LA MAYORIA DE LOS BOLIVIANOS 🇧🇴❤️☺️☺️,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Maleante churrasco jr,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
"Su programa es AMORDAZAR A LA PRENSA COMO EL EVOPEDOFILO, la solucion es colocar un bosal al lari lari",75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Que cambios tu Lary es un mal educado no respeta a nadie ni a ti un poco más el té votará de tu silla aquí todos podemos opinar no como el expaco sinverguenza,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Eso ya lo hizo el MAS y ya no queremos MAS,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Marcela Zurita,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
PAZ NO TIENE HUEVOS Y CAERA ANTE EL LACRA,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
Porque este par de ocasiones son unos maleducados!,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
🧟🇭🇺,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Devolve la plata de tarija maleante,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
https://www.facebook.com/share/v/17drMQ77M8/,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Julio Fernando Mena Fernandez,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
"Lara está compinchado con el narcotrafico, y con los narcos de Venezuela y cuba , lara le entregará el poder a Evo para mantener el negocio de la narcóticos, EEUU no tardará en mandar detener a Lara y Evo por querer mantener el narcotráfico socialista. Lara dictador no debe llegar al poder por qué nos hará esclavos y gobernara con odio y castigo ,, Bolivia se respeta y señor Lara le declaramos la guerra, por nuestros hijos, nuestros abuelos y la gente que trabaja duro para salir adelante, no ganará y lo devolveremos al infierno de dónde salio 🇧🇴🇧🇴🇧🇴",70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
DEFINITIVAMENTE A LOS ZURDOS NO LES CEDAS UN MILÍMETRO TE DESTRUIRÁN BURROS DE TROYA SOCIALISTAS MASISTAS TERRORISTAS NARCOS VOTO CASTIGO A PAZ PEREIRA Y LARA TRUCHOS POPULISTAS,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Pedazo de burro masista que quieres amordazar a la prensa para callar tus delitos tus procesos pendientes?,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Cortale la lengua al boludito de tu vice,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
PARE LA GUERRA SUCIA.. COCHINO TUTO,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Este sujeto no puede controlar el osico de su yunta y ve más factible controlar a la prensa Jajajajajajajajajajaja MAS - GALLINA,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
ponlo bosal a tu mascota,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
"El sociólogo norteamericano Chales White Mills indica que hay tres tipos de actores politicos, 1) ""los POLITICOS PROFESIONALES que son los que viven de la política"", ej: el ex presidente Víctor Paz del MNR que hizo de la política su modus vivendi, 2) los PROFESIONALES POLITICOS viven des su profesión y se dedican a la política"", Ej: empresario Doria Medina Dueño y Jefe de su partido UN y 3) los INTRUSOS EN POLÍTICA como el caso del multimillonario Marcelo Claure, el famoso ""cholango, koreano Chii, Uriona, hoy el ex Cap. de policía Lara, estos últimos son los que se meten a la política política electoral; sin saber que están en un lugar de terrenos sinuosos, que el arte de la política es muy compleja, entonces estos ""intrusos en política partidaria electoral"" salen mal parados o como ovejas trasquiladas, más que ""VERGÜENZA AJENA dan penna.",75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
Yuri Marcos Bacarreza Quiroga,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Capitán Lara BUKELE Boliviano,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
ANDA MANDA EN TU CASA OPA QUE NI TU MUJER TE RESPETA 😂😂😂😂 y vas a querer callar a la prensa de los r0b0s que hiciste en tarija,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
Evo Morales 2.0,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Este cabron quiere acallar a la prensa. poner un BOSAL..y ellos seguir con la guerra sucia y con amenazas e insultos..,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Pajpakus,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
